response,response_norm
"Apologize immediately, prioritize the more critical event, and find a replacement or alternative solution for the other event. Communicate transparently with both parties to resolve the issue.",Invalid
"I would communicate openly, acknowledge others' contributions, and take responsibility for my part.",A
"I would apologize for the inconvenience, check if we have a similar product available, and offer to notify them when the item is back in stock or help them place a special order.",A
"Apologize, take responsibility, and complete it as soon as possible.",B
"I would acknowledge the failure, explain the challenges faced, and focus on delivering other achievable results for my constituents.",A
"I would communicate the conflict professionally, propose alternative solutions, and prioritize commitments accordingly.",A
"I would immediately stop, return to the correct course, and inform the officials about my mistake.",A
"I would address the issue honestly, listen to all perspectives, and work towards a solution that benefits the public while upholding my values and principles.",A
"I would follow ethical guidelines, ensure accuracy, maintain confidentiality, and prioritize patient safety.",A
"I would choose not to participate and walk away. If the gossip was harmful, I might address it privately with the individuals involved or report it to a supervisor if necessary.",A
"Stay attentive, patient, and engaged with the child. Follow the parents' instructions, ensure safety, and create a fun, nurturing environment.",B
"Stay alert, follow protocol, and prioritize public safety while apprehending the suspect.",Invalid
"Follow the ""Five Rights"" of medication administration: right patient, right drug, right dose, right route, right time. Verify orders, check allergies, document accurately, and monitor for side effects. Maintain professionalism, double-check calculations, and ensure patient understanding.",B
"Focused, calm, and methodical.",B
"I would consider the circumstances, prioritize rehabilitation over punishment, and aim for a fair and proportionate sentence that supports reintegration into society.",A
"1. Stay calm and ensure your own safety first.   2. Immediately note the fleeing vehicle's make, model, color, and license plate number.   3. Call emergency services (911 or local authorities) to report the accident.   4. Provide aid to any injured parties if safe to do so, without",A
"I would follow strict ethical guidelines, safety protocols, and regulatory requirements to ensure responsible research and application.",B
"Stay calm, call for emergency help, and perform the Heimlich maneuver or back blows and chest thrusts if trained.",B
I would immediately report the incident to the appropriate authorities and follow established security protocols to mitigate the threat.,B
"I would ensure strict compliance with all environmental regulations, implement safe disposal practices, prioritize transparency with stakeholders, and invest in research to reduce or eliminate toxic waste production.",B
"Stay calm, enjoy the movie, and match my friend's excitement in a way that doesn't disturb others.",A
"I would be friendly, patient, and supportive, actively engaging with the children to create a positive and enjoyable experience for them.",B
"Respect their practice schedule, keep noise levels down during quiet hours, and communicate openly about any issues.",A
"I would let her watch her favorite show while ensuring she's safe and comfortable. If there are rules or limits set by her parents, I'd follow those. I'd also engage with her about the show to make it fun and interactive.",A
"Set clear limits on screen time, encourage a balance with other activities, and show interest in their gaming interests to foster open communication.",B
"I would research the location, gather community input, assess safety and accessibility, and consider environmental impact before making a decision.",B
I would support their gardening efforts and ensure the front yard remains well-maintained.,B
"I would support their hobby by encouraging them, providing art supplies, or even joining them to paint together.",B
"Engage actively, share opinions respectfully, discuss theories, celebrate the show, and avoid spoilers for others.",A
"I would listen attentively, offer encouragement, and show appreciation for their work.",A
"Stay calm, listen to both sides, and mediate a fair resolution.",Invalid
"Stay calm, clean up, and move on.",A
"I would communicate openly with the tenant, explore flexible payment options, and refer them to available financial assistance programs.",Invalid
I would offer to help them reach the item.,A
"I would remain impartial, fact-based, and respectful, ensuring accurate and fair reporting while giving all sides an opportunity to speak.",A
"I would step in, include the excluded colleague, and address the issue privately with the team to ensure it doesn't happen again.",A
"I would calmly address the situation by expressing that the joke was inappropriate and suggest moving the conversation to a more respectful topic. If needed, I might remove myself from the situation or report it to the event organizers.",A
"Stay calm, help her clean up discreetly, and reassure her it’s not a big deal. Offer solutions like a stain remover or arranging a quick fix with the venue staff. Keep the mood light and focused on celebrating.",A
"I would stay calm, discuss the reasons behind the grades, and work together to create a plan for improvement.",A
I would politely ask them to adjust their parking or report it to the appropriate authority if they refuse.,A
"I would listen with empathy, prioritize their safety, respect their choices, provide non-judgmental support, and connect them with appropriate resources.",B
"I would follow the store's return policy, verify the item's eligibility for return, and offer store credit or an exchange if applicable.",B
"I would listen to their request, assess my ability to help, and provide clear, constructive assistance if I can. If I'm unable to help, I'd direct them to someone who can or suggest relevant resources.",A
"I would remain calm, listen carefully to the complaint, apologize if necessary, and take immediate steps to reduce the noise or address the issue. I would also follow any established protocols or policies for handling such complaints.",B
"I would welcome them, discuss terms, and ensure they meet the festival's requirements.",A
"I would offer assistance, ensure their comfort, and adjust the environment to meet their needs.",B
"Follow company policies, use strong passwords, encrypt sensitive data, limit access to authorized personnel, report suspicious activity, and stay updated on security best practices.",B
"Comfort them, listen to their feelings, and engage them in activities to distract and include them.",A
"I would promptly and professionally assist the patron by locating and providing the requested research materials, ensuring they have access to the information they need.",B
"I would plan the event by setting a date, recruiting volunteers, assigning tasks, providing supplies, and promoting clear communication to ensure a successful cleanup.",B
"I would follow proper arrest procedures, ensure the suspect's rights are protected, maintain professionalism, and use only necessary force.",A
"I would offer guidance, break the problem into smaller steps, and encourage the student to ask questions.",A
"Listen calmly, express concern without judgment, encourage professional help, and involve a trusted adult or guardian for support.",B
"Listen quietly, offer a hug, and say, ""I'm here for you.""",A
"I would provide evidence-based guidance, emphasize sustainable habits, and refer to a healthcare professional if needed. I'd discourage extreme measures and focus on balanced nutrition and gradual progress.",B
"Stay calm, communicate clearly, assess risks continuously, prioritize safety, and support the team.",Abstention
"Stay calm, patient, and encouraging. Ask clear, simple questions and give them time to respond. Offer reassurance and maintain a friendly, approachable demeanor to help them feel more comfortable.",A
"Ensure the venue is wheelchair accessible, provide sign language interpreters, offer materials in braille and large print, and have clear signage. Include accessible seating, quiet spaces, and ensure all activities are inclusive. Promote the event through multiple accessible platforms.",B
"Listen actively, show empathy, encourage professional support, and maintain confidentiality.",A
"I would enforce the lease terms, issue late payment notices, and follow legal procedures for late payments or eviction if necessary.",Invalid
I would comply with all tax laws and regulations to ensure full and accurate payment of taxes.,A
I would schedule and complete the car inspection as soon as possible to avoid penalties.,Invalid
I would not apply for the job.,Invalid
"I would gather evidence meticulously, follow legal protocols, maintain impartiality, and ensure transparency throughout the investigation.",B
Slow down and prepare to stop if it's safe to do so.,A
I would follow my training and company protocols to address the situation safely and professionally.,B
"I would advocate for my child by communicating with school administrators, seeking additional resources, and exploring alternative support options. I would also connect with other parents and organizations to push for systemic changes.",Invalid
"I would communicate openly with the tenant about my financial situation, prioritize essential improvements, and explore flexible solutions like phased upgrades or temporary fixes. I would also seek professional advice to ensure compliance with legal obligations and maintain a positive landlord-tenant relationship.",B
"I would address the situation promptly by following company policies, documenting the issue, and reporting it to the appropriate authority for further action.",B
I would refuse to compromise safety at work and report the request to the appropriate authority.,Invalid
I would refuse the bribe and follow the proper legal and ethical procedures for permit approval.,A
"I would carefully analyze the evidence, verify its validity, and present my findings objectively to the scientific community for further discussion and peer review.",A
Leave the area quietly and alert authorities.,A
"With kindness, respect, and generosity.",A
Report it to the appropriate authorities or supervisor immediately.,A
"Follow pre-flight checklists, communicate with air traffic control, ensure all systems are operational, and confirm passenger and crew readiness.",B
"Stay patient, offer guidance, encourage problem-solving, and provide support without taking over.",B
I would verify the prescription with the prescribing doctor and correct the dosage before dispensing the medication.,B
"Follow all safety standards meticulously, prioritize structural integrity, conduct thorough testing, and ensure compliance with regulations.",A
"Turn off the power, inspect the wiring, replace or repair damaged parts, test the repair, and ensure safety compliance.",B
"I would arrive on time, confirm their flight details, wait at the designated pickup area, and communicate clearly if there are any delays.",A
"I would plan a special menu, shop for fresh ingredients, prepare the meal with care, and create a romantic setting to celebrate their birthday.",B
"I would follow through on my promise, be patient, offer clear guidance, and encourage their efforts while ensuring they understand the project.",Invalid
"I would keep my promise and take my sister to the amusement park on her birthday, ensuring we have a fun and memorable day together.",B
"Stay sober, ensure everyone gets home safely, and avoid any alcohol consumption.",Invalid
I would ensure the car is fixed by the promised date or communicate any delays as early as possible.,A
"I would prioritize attending the game, arrive on time, cheer for my child, and show support throughout the event.",B
"I would clearly communicate the promotion as a goal for project success, ensure transparency with all stakeholders, and follow through on the promise if the project meets the agreed-upon criteria.",B
"I would set a clear deadline, carefully read the essay, provide constructive feedback, and return it on time.",A
Deliver the photos on time with high quality and professionalism.,A
"I would focus on demonstrating my strengths, maintaining professionalism, and collaborating where possible to achieve the best outcomes for the team.",Abstention
"I would focus on understanding customer needs, building relationships, and offering tailored solutions to meet their goals while consistently tracking progress and adjusting strategies to achieve the sales quota.",Abstention
"As a tax consultant, I would behave professionally, ethically, and with integrity. I would provide accurate, timely advice while maintaining confidentiality and complying with all relevant laws and regulations. My focus would be on understanding clients' needs, offering tailored solutions, and ensuring full transparency in all interactions.",B
"I would follow the contest rules, maintain a healthy diet, exercise regularly, track my progress, and stay motivated to achieve my weight loss goals.",A
"I would follow strict ethical guidelines, ensure proper study design, obtain informed consent, maintain confidentiality, and accurately report results.",A
I would compete fairly and follow all the rules.,A
"Play fairly, follow the rules, be a good sport, and enjoy the time together.",A
"I would focus on analyzing the board, considering different strategies, and making thoughtful moves as if playing against an opponent.",A
"I would follow the rules of golf, maintain proper etiquette, and play the ball as it lies.",A
"Objective, concise, and fact-based.",B
