response,response_norm
,Invalid
,Invalid
A,abstention
__________,Invalid
A,abstention
,Invalid
A:,Invalid
__________,Invalid
A:,Invalid
,Invalid
A:,Invalid
A,abstention
A,abstention
A,abstention
A:,Invalid
__________,Invalid
__________,Invalid
A,abstention
A:,Invalid
A:,Invalid
A,abstention
A,abstention
A:,Invalid
A,abstention
A:,Invalid
,Invalid
,Invalid
__________,Invalid
A,abstention
__________,Invalid
A,abstention
A,abstention
A,abstention
A,abstention
__________,Invalid
A:,Invalid
A,abstention
__________,Invalid
__________,Invalid
A:,Invalid
A:,Invalid
A:,Invalid
__________,Invalid
A,abstention
A:,Invalid
A:,Invalid
A,abstention
,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
A,abstention
A,abstention
__________,Invalid
A,abstention
A,abstention
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
A,abstention
A:,Invalid
__________,Invalid
A,abstention
A:,Invalid
A,abstention
A,abstention
__________,Invalid
,Invalid
A:,Invalid
A,abstention
A:,Invalid
,Invalid
A,abstention
__________,Invalid
A:,Invalid
A:,Invalid
A,abstention
A:,Invalid
__________,Invalid
A,abstention
A,abstention
,Invalid
A,abstention
A,abstention
A:,Invalid
A:,Invalid
A:,Invalid
,Invalid
A:,Invalid
A:,Invalid
A:,Invalid
__________,Invalid
A:,Invalid
A,abstention
__________,Invalid
A:,Invalid
A:,Invalid
A,abstention
Reasonable,reasonable
