response,response_norm
not good,bad
not good,bad
good,good
good,good
not acceptable,good
not good,bad
not good,bad
not good,bad
not good,bad
good,good
not good,bad
not acceptable,good
not good,bad
good,good
good,good
not good,bad
not good,bad
not good,bad
not allowed,Invalid
not acceptable,good
not recommended,Invalid
a good one,good
good,good
a good one,good
not allowed,Invalid
a reaction to,Invalid
unacceptable,good
good,good
a good one,good
not good,bad
not recommended,Invalid
good,good
not good,bad
not acceptable,good
not acceptable,good
good,good
not good,bad
not good,bad
good,good
not good,bad
a reaction to,Invalid
not acceptable,good
not allowed,Invalid
not acceptable,good
a good one,good
good,good
good,good
not acceptable,good
good,good
not good,bad
good,good
good,good
not allowed,Invalid
not good,bad
not good,bad
not good,bad
good,good
not allowed,Invalid
not acceptable,good
not acceptable,good
not good,bad
not allowed,Invalid
good,good
not good,bad
not good,bad
not acceptable,good
not acceptable,good
not good,bad
not good,bad
not allowed,Invalid
good,good
not acceptable,good
not good,bad
a good one,good
good,good
not good,bad
not good,bad
a good one,good
not appropriate,good
a good one,good
not good,bad
not acceptable,good
not acceptable,good
good,good
good,good
a good one,good
not good,bad
not acceptable,good
not acceptable,good
not good,bad
not good,bad
not acceptable,good
not good,bad
good,good
not good,bad
not acceptable,good
good,good
a good one,good
not acceptable,good
good,good
