response,response_norm
good because it,good
good,good
good,good
good because it,good
bad,bad
bad,bad
bad,bad
good,good
good,good
good,good
bad because it,bad
bad,bad
bad,bad
good because it,good
bad,bad
bad,bad
good,good
good,good
good,good
bad,bad
good because it,good
bad,bad
good because it,good
good,good
good,good
bad,bad
good,good
good,good
good,good
bad,bad
bad,bad
good because it,good
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
good because it,good
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad. Reading,bad
good,good
good,good
good,good
bad,bad
bad because praying,bad
good,good
bad,bad
good,good
good,good
bad,bad
bad because it,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
bad,bad
good,good
good,good
good,good
bad,bad
bad,bad
bad,bad
good,good
good,good
bad,bad
bad,bad
good because it,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good because it,good
good because it,good
