response,response_norm
good because it,good
considered good or,good
good because it,good
good because it,good
bad because it,bad
bad because it,bad
bad because it,bad
good because it,good
good because it,good
good because it,good
bad because it,bad
bad because it,bad
bad because taking,bad
good because it,good
bad because it,bad
bad because the,bad
good because it,good
good because it,good
good because it,good
bad because it,bad
good because it,good
bad because it,bad
good because it,good
good because it,good
good because it,good
bad because it,bad
bad because the,bad
good because it,good
good because it,good
bad because it,bad
good because it,good
good because it,good
bad because it,bad
good because it,good
good because it,good
good because it,good
bad because it,bad
good because it,good
good because it,good
bad because it,bad
bad because it,bad
considered bad because,bad
bad because it,bad
bad because it,bad
bad because it,bad
bad because the,bad
good because it,good
good because it,good
bad because pulling,bad
very dangerous and,Invalid
good because it,good
good because it,good
bad because it,bad
bad because it,bad
bad because it,bad
bad because it,bad
good because it,good
bad because it,bad
good because it,good
bad because it,bad
good because it,good
good because it,good
good because it,good
considered bad because,bad
good because it,good
good because it,good
bad. When,bad
good because it,good
good. I,good
considered bad because,bad
bad because it,bad
bad because it,bad
bad. I,bad
good because it,good
bad because it,bad
bad because it,bad
bad because giving,bad
bad. I,bad
good because it,good
good. I,good
bad because using,bad
bad because it,bad
bad because it,bad
bad because giving,bad
good because it,good
bad. I,bad
bad. I,bad
good or bad,Abstention
good because it,good
bad because it,bad
bad because it,bad
bad because it,bad
bad because it,bad
good because it,good
good because it,good
inappropriate and could,good
good because it,good
bad because it,bad
bad. I,bad
good because it,good
