response,response_norm
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A,abstention
A,abstention
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A,abstention
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A:,Invalid
A,abstention
__________,Invalid
A,abstention
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
Re,abstention
A:,Invalid
__________,Invalid
__________,Invalid
A,abstention
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
A,abstention
,Invalid
A,abstention
A:,Invalid
__________,Invalid
A,abstention
A:,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A,abstention
A,abstention
A:,Invalid
,Invalid
Reasonable,reasonable
__________,Invalid
A:,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
A,abstention
__________,Invalid
__________,Invalid
__________,Invalid
A,abstention
__________,Invalid
__________,Invalid
A:,Invalid
__________,Invalid
