response,response_norm
a violation of,Invalid
good,good
not good,bad
a good one,good
not good,bad
good,good
not good,bad
good,good
a good one,good
not good,bad
not allowed,Invalid
not good,bad
good,good
not acceptable,good
not recommended,Invalid
not acceptable,good
a bit of,Invalid
not good,bad
not good,bad
not acceptable,good
good,good
not good,bad
not good,bad
not good,bad
not acceptable,good
a good one,good
not good,bad
good,good
good,good
good,good
not good,bad
good,good
not good,bad
not good,bad
not recommended,Invalid
a good one,good
not good,bad
not good,bad
not good,bad
not good,bad
not good,bad
not appropriate,good
good,good
good,good
not acceptable,good
good,good
a good one,good
a good one,good
good,good
not allowed,Invalid
good,good
not good,bad
good,good
not acceptable,good
not good,bad
not good,bad
not good,bad
not good,bad
not allowed,Invalid
a good one,good
good,good
not good,bad
not good,bad
good,good
a good one,good
not good,bad
good,good
a good one,good
not allowed,Invalid
not acceptable,good
not acceptable,good
a bad one,bad
not good,bad
not good,bad
not good,bad
not good,bad
not good,bad
not good,bad
not acceptable,good
good,good
not acceptable,good
not good,bad
a good one,good
not good,bad
not allowed,Invalid
not good,bad
not recommended,Invalid
not acceptable,good
not acceptable,good
not good,bad
not recommended,Invalid
good,good
not recommended,Invalid
a good one,good
a good one,good
good,good
good,good
good,good
not good,bad
not acceptable,good
