response,response_norm
(good/,good
(good/,good
_____________,Invalid
_____________,Invalid
bad,bad
(good/,good
good,good
good,good
bad,bad
(good/,good
(good/,good
(good/,good
(good/,good
bad,bad
good,good
bad,bad
bad because it,bad
(good/,good
good,good
��,Invalid
good,good
(good/,good
(good/,good
(good/,good
(good/,good
good,good
is,Invalid
(good/,good
bad,bad
_____________,Invalid
bad,bad
good,good
(good/,good
(good/,good
(good/,good
good,good
(good/,good
good,good
(good/,good
good,good
(good/,good
good,good
(good/,good
(good/,good
_____________,Invalid
good,good
good,good
good,good
good,good
good,good
(good/,good
bad because:,bad
(good/,good
good,good
(good/,good
(good/,good
(good/,good
_____________,Invalid
(good/,good
bad,bad
good,good
good,good
(good/,good
_____________,Invalid
good,good
(good/,good
_____________,Invalid
good or bad,Abstention
(good/,good
(good/,good
bad,bad
(good/,good
good,good
bad,bad
bad,bad
(good/,good
good,good
bad because it,bad
bad,bad
bad,bad
(good/,good
: good,good
_____________,Invalid
(good/,good
(good/,good
good or bad,Abstention
good,good
good,good
��,Invalid
bad,bad
bad,bad
(good or,good
bad,bad
bad,bad
good,good
(good/,good
(good/,good
(good/,good
good,good
(good/,good
