response,response_norm
good,good
good because it,good
bad,bad
good because it,good
bad,bad
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
good,good
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
bad,bad
good because going,good
bad,bad
bad,bad
good,good
good because Vitamin,good
bad,bad
good,good
good because it,good
good,good
good because it,good
bad,bad
bad,bad
good because it,good
good because dogs,good
good,good
bad,bad
good,good
bad,bad
bad,bad
good because it,good
good,good
good because it,good
good because it,good
good,good
bad,bad
good because disposing,good
good because it,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good because it,good
good because dancing,good
bad,bad
good. Drinking,good
bad,bad
good,good
good,good
bad,bad
bad,bad
bad,bad
good,good
good because it,good
bad,bad
good because it,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good because it,good
bad,bad
