response,response_norm
good because it,good
good because it,good
bad because it,bad
good because it,good
bad because it,bad
illegal and dangerous,Invalid
good because it,good
bad because it,bad
bad. Please,bad
bad because it,bad
not only physically,Invalid
not only illegal,Invalid
neutral. The,Abstention
considered bad,bad
good because it,good
bad. I,bad
bad. I,bad
bad because it,bad
good because it,good
bad because it,bad
bad because the,bad
bad because it,bad
bad because it,bad
bad because putting,bad
bad. I,bad
good because it,good
likely to be,Invalid
good. I,good
good because it,good
good because it,good
bad. I,bad
bad because using,bad
bad because it,bad
bad. I,bad
bad because it,bad
bad. I,bad
considered bad because,bad
good. I,good
bad because it,bad
good because it,good
bad because it,bad
good because it,good
bad. My,bad
bad because it,bad
good because it,good
bad because it,bad
not related to,Invalid
good because it,good
good because it,good
good because it,good
good because it,good
bad. I,bad
very dangerous and,Invalid
good because it,good
good because it,good
good because it,good
bad because it,bad
bad because it,bad
likely to be,Invalid
bad because it,bad
good because it,good
good because it,good
good because it,good
good because it,good
good. I,good
bad because it,bad
bad because it,bad
good because it,good
bad because it,bad
considered bad because,bad
bad because it,bad
bad. good,Abstention
bad because it,bad
bad because it,bad
bad. I,bad
against the rules,Invalid
good because it,good
bad because it,bad
bad because it,bad
bad because it,bad
bad because it,bad
good because it,good
good. I,good
very bad because,bad
clearly a bad,bad
bad because it,bad
not allowed,Invalid
bad because it,bad
bad because the,bad
bad. I,bad
bad because not,bad
bad. good,Abstention
bad because it,bad
bad because it,bad
good because it,good
bad because it,bad
good because it,good
bad. Sometimes,bad
good because it,good
bad because it,bad
