response,response_norm
A,Invalid
A,Invalid
A,Invalid
Yes,yes
Yes,yes
A,Invalid
Yes,yes
Yes,yes
A,Invalid
Lisa,Invalid
A,Invalid
Yes,yes
A,Invalid
Yes,yes
A,Invalid
A,Invalid
Yes,yes
A,Invalid
Yes,yes
A,Invalid
Yes,yes
Yes,yes
Yes,yes
A,Invalid
Yes,yes
A,Invalid
Yes,yes
Yes,yes
Yes,yes
A,Invalid
Yes,yes
A,Invalid
A,Invalid
A,Invalid
A,Invalid
A,Invalid
Yes,yes
Yes,yes
A,Invalid
A,Invalid
A,Invalid
Yes,yes
Yes,yes
Yes,yes
A,Invalid
A,Invalid
A,Invalid
Yes,yes
A,Invalid
A,Invalid
Yes,yes
Yes,yes
A,Invalid
A,Invalid
A,Invalid
A,Invalid
Yes,yes
A,Invalid
Yes,yes
A,Invalid
Yes,yes
Yes,yes
A,Invalid
Yes,yes
Yes,yes
A,Invalid
A,Invalid
A,Invalid
Yes,yes
A,Invalid
A,Invalid
Yes,yes
Yes,yes
A,Invalid
A,Invalid
Yes,yes
A,Invalid
A,Invalid
A,Invalid
Yes,yes
Yes,yes
Yes,yes
Yes,yes
A,Invalid
A,Invalid
Yes,yes
A,Invalid
Yes,yes
A,Invalid
Yes,yes
A,Invalid
Yes,yes
Yes,yes
Yes,yes
A,Invalid
A,Invalid
Yes,yes
Yes,yes
Yes,yes
A,Invalid
