response,response_norm
no Trait,no
_______________________,Invalid
_______________________,Invalid
no Explanation,no
_______________________,Invalid
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
yes Trait,yes
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
no Trait,no
_______________________,Invalid
_______________________,Invalid
no Trait,no
yes Trait,yes
_______________________,Invalid
_______________________,Invalid
no Trait,no
no Trait,no
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
no Trait,no
yes Explanation,yes
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
no Trait,no
_______________________,Invalid
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Explanation,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
no Trait,no
_______________________,Invalid
_______________________,Invalid
no Trait,no
_______________________,Invalid
_______________________,Invalid
yes Trait,yes
no Trait,no
_______________________,Invalid
no Explanation,no
_______________________,Invalid
no Trait,no
no Trait,no
yes Trait,yes
no Trait,no
no Trait,no
no Trait,no
no Trait,no
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
no Trait,no
_______________________,Invalid
yes Trait,yes
no Trait,no
no Trait,no
no Trait,no
no Trait,no
_______________________,Invalid
yes Trait,yes
yes Trait,yes
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
yes Trait,yes
no Trait,no
yes Trait,yes
