response,response_norm
No,no
No,no
No,no
No,no
No,no
yes,yes
No,no
Yes,yes
No,no
No,no
No,no
No,no
Yes,yes
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
Yes,yes
No,no
Yes,yes
No,no
No,no
no,no
No,no
No,no
Yes,yes
No,no
Yes,yes
No,no
No,no
Yes,yes
No,no
No,no
No,no
Yes,yes
No,no
No,no
Yes,yes
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
yes,yes
No,no
Yes,yes
No,no
Yes,yes
No,no
No,no
No,no
No,no
No,no
Yes,yes
No,no
yes,yes
No,no
Yes,yes
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
Yes,yes
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
No,no
Yes,yes
No,no
No,no
Yes,yes
Yes,yes
Yes,yes
No,no
Yes,yes
