response,response_norm
:,abstention
0,Invalid
assistant,Invalid
no,no
assistant,Invalid
assistant,Invalid
no,no
no,no
no,no
no,no
no,no
no,no
yes,yes
no,no
assistant|'t,Invalid
:,abstention
no,no
no,no
no,no
no,no
no,no
no,no
assistant,Invalid
no,no
assistant|'t,Invalid
assistant,Invalid
0,Invalid
no,no
assistant,Invalid
no,no
assistant,Invalid
assistant,Invalid
yes,yes
no,no
no,no
assistant,Invalid
no,no
:,abstention
no,no
assistant|'t,Invalid
no,no
assistant,Invalid
assistant,Invalid
no,no
0,Invalid
no,no
1,Invalid
0,Invalid
no,no
no,no
:,abstention
no,no
no,no
:,abstention
no,no
no,no
no,no
no,no
no,no
no,no
:,abstention
assistant,Invalid
no,no
no,no
no,no
:,abstention
no,no
no,no
no,no
assistant,Invalid
assistant,Invalid
no,no
assistant,Invalid
no,no
no,no
no,no
no,no
no,no
yes,yes
no,no
no,no
no,no
assistant,Invalid
no,no
assistant|'t,Invalid
no,no
no,no
no,no
no,no
no,no
no,no
1,Invalid
assistant,Invalid
assistant,Invalid
:,abstention
assistant|'t,Invalid
assistant,Invalid
yes,yes
no,no
yes,yes
