response,response_norm
The trait of,Invalid
No,no
No,no
No. The,no
The trait ',Invalid
No,no
No. The,no
The trait of,Invalid
No,no
No,no
No,no
no  The,no
"Yes, the",yes
no  Okay,no
To determine if,abstention
The trait ',Invalid
No. The,no
The trait ',Invalid
To determine if,abstention
no  The,no
"The trait """,Invalid
The sentence describes,abstention
The sentence describes,abstention
no  Okay,no
"Yes, the",yes
The trait of,Invalid
The sentence describes,abstention
No.  The,no
No. The,no
No,no
The sentence does,Invalid
No,no
The sentence describes,abstention
no  The,no
No. The,no
"The trait """,Invalid
No,no
no  D,no
no Okay,no
The sentence says,abstention
no Okay,no
"The trait """,Invalid
The trait of,Invalid
The trait ',Invalid
No,no
no Okay,no
No,no
no  The,no
no  The,no
No. The,no
no  The,no
No. The,no
no  Okay,no
1. The,Invalid
The trait of,Invalid
To determine if,abstention
no  The,no
The sentence describes,abstention
The trait ',Invalid
No  The,no
The sentence does,Invalid
The trait of,Invalid
The trait ',Invalid
The trait ',Invalid
The sentence describes,abstention
No. The,no
No. The,no
The sentence describes,abstention
The trait of,Invalid
no  The,no
The trait of,Invalid
No,no
To determine if,abstention
The trait ',Invalid
No,no
No. The,no
no  The,no
No,no
yes  Okay,yes
no  The,no
The sentence describes,abstention
The trait ',Invalid
The sentence does,Invalid
No,no
no Okay,no
The trait ',Invalid
No,no
No.  The,no
2 Okay,Invalid
no  The,no
The trait of,Invalid
The trait of,Invalid
The sentence describes,abstention
To determine if,abstention
No,no
To determine if,abstention
The trait ',Invalid
The sentence describes,abstention
No. The,no
The sentence describes,abstention
