response,response_norm
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
______________,Invalid
______________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
__________,Invalid
