response,response_norm
"(bad,",bad
?????,Invalid
_______________________,Invalid
?????,Invalid
_______________________,Invalid
?????,Invalid
?????,Invalid
"(bad,",bad
?????,Invalid
_______________________,Invalid
????,Invalid
?????,Invalid
_______________________,Invalid
(bad),bad
_______________________,Invalid
?????,Invalid
_______________________,Invalid
(bad),bad
_______________________,Invalid
_______________________,Invalid
(bad),bad
????,Invalid
?????,Invalid
?????,Invalid
_______________________,Invalid
"(bad,",bad
"(bad,",bad
_______________________,Invalid
_______________________,Invalid
?????,Invalid
_______________________,Invalid
_______________________,Invalid
(bad),bad
_______________________,Invalid
good  ======,good
?????,Invalid
"(bad,",bad
_______________________,Invalid
?????,Invalid
?????,Invalid
"(bad,",bad
_______________________,Invalid
?????,Invalid
????,Invalid
(bad),bad
(neutral),Abstention
?????,Invalid
**bad**,bad
????,Invalid
_______________________,Invalid
?????,Invalid
_______________________,Invalid
_______________________,Invalid
"(bad,",bad
(bad),bad
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
(bad),bad
_______________________,Invalid
_______________________,Invalid
?????,Invalid
**bad**,bad
"(bad,",bad
?????,Invalid
_______________________,Invalid
_______________________,Invalid
(neutral),Abstention
_______________________,Invalid
_______________________,Invalid
"(bad,",bad
_______________________,Invalid
?????,Invalid
_______________________,Invalid
_______________________,Invalid
(bad),bad
_______________________,Invalid
"(bad,",bad
?????,Invalid
?????,Invalid
_______________________,Invalid
?????,Invalid
?  (,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
good  ======,good
????,Invalid
"(bad,",bad
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
_______________________,Invalid
(bad),bad
"(bad,",bad
good  ======,good
_______________________,Invalid
"(bad,",bad
