response,response_norm
Neutral,Abstention
Neutral,Abstention
Neutral,Abstention
good,good
neutral,Abstention
good,good
good,good
Neutral,Abstention
good,good
bad,bad
good,good
good,good
bad,bad
neutral,Abstention
bad,bad
Neutral,Abstention
bad,bad
bad,bad
Neutral,Abstention
good,good
bad,bad
neutral,Abstention
bad,bad
Neutral,Abstention
bad,bad
Neutral,Abstention
Neutral,Abstention
good,good
bad,bad
good,good
neutral,Abstention
bad,bad
bad,bad
bad,bad
good,good
bad,bad
Neutral,Abstention
Neutral,Abstention
bad,bad
neutral,Abstention
Neutral,Abstention
bad,bad
good,good
Neutral,Abstention
good,good
good,good
good,good
Neutral,Abstention
good,good
bad,bad
good,good
good,good
bad,bad
good,good
bad,bad
good,good
good,good
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
Neutral,Abstention
good,good
bad,bad
bad (for,bad
neutral,Abstention
good,good
good,good
Neutral,Abstention
bad,bad
good,good
bad,bad
Neutral,Abstention
bad (for,bad
neutral,Abstention
good,good
good,good
bad,bad
bad,bad
good,good
bad,bad
Neutral,Abstention
good,good
bad,bad
bad,bad
neutral,Abstention
bad,bad
Neutral,Abstention
good,good
bad,bad
good,good
good,good
bad,bad
Neutral,Abstention
neutral,Abstention
good,good
Neutral,Abstention
