response,response_norm
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
bad,bad
neutral  Explanation,Abstention
neutral  Explanation,Abstention
bad,bad
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
neutral  Explanation,Abstention
