response,response_norm
The observation is,Invalid
bad Okay,bad
The observation is,Invalid
The observation is,Invalid
bad Okay,bad
The observation is,Invalid
The observation is,Invalid
The action of,Invalid
neutral  Okay,Abstention
bad Okay,bad
The scenario is,Invalid
The observation is,Invalid
bad Okay,bad
neutral  Okay,Abstention
bad Okay,bad
Neutral  Okay,Abstention
"(bad,",bad
bad Okay,bad
neutral  Okay,Abstention
The observation is,Invalid
bad Okay,bad
The observation is,Invalid
The scenario is,Invalid
neutral Okay,Abstention
Neutral  Okay,Abstention
neutral  Okay,Abstention
The observation is,Invalid
The scenario is,Invalid
The observation is,Invalid
neutral  Okay,Abstention
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
The scenario is,Invalid
bad Okay,bad
Neutral  Okay,Abstention
neutral  Okay,Abstention
bad Okay,bad
neutral  Okay,Abstention
neutral  Okay,Abstention
bad  Okay,bad
The observation is,Invalid
The scenario is,Invalid
The scenario is,Invalid
neutral  Okay,Abstention
The observation is,Invalid
bad Okay,bad
The scenario is,Invalid
bad Okay,bad
The observation is,Invalid
The observation is,Invalid
bad Okay,bad
The action of,Invalid
bad Okay,bad
The scenario is,Invalid
The scenario is,Invalid
neutral  Okay,Abstention
bad Okay,bad
good  Okay,good
The scenario is,Invalid
bad Okay,bad
The observation is,Invalid
neutral  Okay,Abstention
The observation is,Invalid
bad Okay,bad
bad Okay,bad
The scenario is,Invalid
The scenario is,Invalid
The observation is,Invalid
Neutral  Okay,Abstention
bad Okay,bad
good  Okay,good
bad  Okay,bad
neutral  Okay,Abstention
The action of,Invalid
The observation provides,Invalid
"The observation """,Invalid
neutral  Okay,Abstention
The observation indicates,Invalid
The scenario is,Invalid
The observation is,Invalid
The scenario is,Invalid
Neutral  Okay,Abstention
The observation is,Invalid
bad Okay,bad
bad Okay,bad
(bad/g,bad
neutral Okay,Abstention
You are standing,Invalid
"Okay, let",Invalid
The scenario is,Invalid
The observation is,Invalid
The scenario is,Invalid
neutral  Okay,Abstention
neutral  Okay,Abstention
neutral  Okay,Abstention
"(good,",good
The observation is,Invalid
