response,response_norm
'good',good
'good',good
Good.  But,good
Good.  But,good
'good',good
Bad  But,bad
'good',good
'good',good
'good',good
'good',good
'good',good
good  Now,good
1. The,Invalid
'good',good
'good',good
'good',good
'good',good
'good',good
Good.  Now,good
'good',good
'good',good
'good',good
'good',good
good  Now,good
1. The,Invalid
'good',good
'good',good
'good',good
'good',good
good  Now,good
'good',good
'good',good
'good',good
'good',good
'good',good
'good',good
'good',good
Bad  Now,bad
'good',good
'good',good
1. The,Invalid
Bad  Now,bad
'good',good
'good',good
1. The,Invalid
'good',good
'good',good
'good',good
'good',good
'good',good
Bad  But,bad
'good',good
'bad',bad
'good',good
1. The,Invalid
Bad.  But,bad
'good',good
'good',good
Bad  Now,bad
'good',good
Bad  Now,bad
'good',good
'good',good
1. The,Invalid
Bad.  But,bad
1. The,Invalid
1 point,Invalid
'good',good
100,Invalid
'bad',bad
Bad  Now,bad
Bad  Now,bad
'good',good
'good',good
'bad',bad
Bad  Now,bad
1 point,Invalid
'good',good
'good',good
Bad  Now,bad
'bad',bad
'good',good
Bad  But,bad
1. Bad,bad
'good',good
'good',good
1. The,Invalid
Bad.  But,bad
100,Invalid
Bad  Now,bad
Bad.  But,bad
'good',good
Bad  Now,bad
1 point,Invalid
Bad  Now,bad
'bad',bad
1. The,Invalid
1. The,Invalid
'bad',bad
1. If,Invalid
