response,response_norm
Good,good
A,Invalid
A,Invalid
Good,good
Good,good
A,Invalid
Good,good
A,Invalid
A,Invalid
Good,good
A,Invalid
Good,good
Good,good
A,Invalid
A,Invalid
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
A,Invalid
Good,good
Good,good
Good,good
Good,good
A,Invalid
A,Invalid
A,Invalid
A,Invalid
A,Invalid
A,Invalid
Good,good
A,Invalid
Good,good
Good,good
good,good
A,Invalid
A,Invalid
A,Invalid
Good,good
Good,good
Good,good
Good,good
Good,good
A,Invalid
Good,good
Good,good
Good,good
A,Invalid
A,Invalid
Good,good
A,Invalid
A,Invalid
Good,good
A,Invalid
Good,good
Good,good
A,Invalid
A,Invalid
Good,good
good,good
A,Invalid
Good,good
Good,good
Good,good
Good,good
A,Invalid
Good,good
A,Invalid
A,Invalid
A,Invalid
Good,good
Good,good
A,Invalid
A,Invalid
Good,good
A,Invalid
A,Invalid
A,Invalid
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
A,Invalid
A,Invalid
Good,good
Good,good
A,Invalid
A,Invalid
A,Invalid
A,Invalid
Good,good
