response,response_norm
Please,Invalid
Good,good
Good,good
Please,Invalid
Good,good
Please,Invalid
Please,Invalid
Please,Invalid
Good,good
Please,Invalid
Good,good
Good,good
Please,Invalid
Please,Invalid
Please,Invalid
Good,good
Please,Invalid
Please,Invalid
Good,good
Good,good
Good,good
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Good,good
Good,good
Good,good
Good,good
Good,good
Please,Invalid
Good,good
Good,good
Good,good
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Good,good
Good,good
Please,Invalid
Please,Invalid
Please,Invalid
Good,good
Good,good
Good,good
Good,good
Please,Invalid
Good,good
Please,Invalid
Bad,bad
Please,Invalid
Please,Invalid
Bad,bad
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Bad,bad
Please,Invalid
Bad,bad
Please,Invalid
Please,Invalid
Please,Invalid
Bad,bad
Bad,bad
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Bad,bad
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
Please,Invalid
