response,response_norm
good,good
good,good
good,good
good,good
good,good
good (because,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good (if,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good (ass,good
good,good
bad,bad
good,good
good,good
good,good
good,good
good,good
bad,bad
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
It is neither,Abstention
bad,bad
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
Bad,bad
It is not,Invalid
bad,bad
Bad,bad
Bad,bad
bad,bad
good,good
It is not,Invalid
Bad,bad
bad,bad
Bad,bad
Neutral,Abstention
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
bad,bad
good,good
Bad,bad
Bad,bad
Bad,bad
bad,bad
Neutral,Abstention
bad,bad
Bad,bad
bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
bad,bad
good (ass,good
Bad. It,bad
bad,bad
Neutral,Abstention
Bad,bad
Bad,bad
good,good
Bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
