response,response_norm
good,good
good,good
good,good
good,good
good,good
bad,bad
good,good
bad,bad
good,good
good,good
good,good
good,good
good,good
bad,bad
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
bad,bad
good,good
good,good
good,good
good,good
bad,bad
good,good
bad,bad
good,good
good,good
bad,bad
bad,bad
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
:,Invalid
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
:,Invalid
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
