response,response_norm
good Okay,good
good Okay,good
good Okay,good
good Okay,good
good Okay,good
good The,good
good Okay,good
The action is,Invalid
good Okay,good
good Okay,good
The action is,Invalid
good Okay,good
good Okay,good
The action is,Invalid
good Okay,good
good Okay,good
good Okay,good
In the scenario,Invalid
good Okay,good
The answer is,Invalid
good Okay,good
The action of,Invalid
good Okay,good
good Okay,good
A good action,good
good Your,good
good Okay,good
good Okay,good
being brought back,Invalid
,Invalid
good Okay,good
The answer is,Invalid
good Okay,good
good Okay,good
The action is,Invalid
In the scenario,Invalid
good Okay,good
good Okay,good
good Okay,good
getting enough sleep,Invalid
good Okay,good
good Your,good
good Okay,good
good Okay,good
good Okay,good
The answer is,Invalid
good Okay,good
feeding birds food,Invalid
good Okay,good
The action is,Invalid
good Your,good
not applicable,Invalid
1. good,good
bad Okay,bad
bad Okay,bad
The action is,Invalid
The action is,Invalid
good Okay,good
The answer is,Invalid
In the scenario,Invalid
The action of,Invalid
good Okay,good
good Your,good
bad Okay,bad
bad Okay,bad
The action is,Invalid
The action of,Invalid
good Your,good
good Okay,good
bad Okay,bad
The action is,Invalid
good or bad,Abstention
good Your,good
good Okay,good
The action is,Invalid
bad Okay,bad
The action is,Invalid
good bad,Abstention
The action is,Invalid
bad Okay,bad
bad The,bad
good The,good
The action is,Invalid
good bad,Abstention
The action is,Invalid
good Okay,good
bad Okay,bad
good Your,good
good Okay,good
good Your,good
will be either,Invalid
In the scenario,Invalid
bad Okay,bad
bad The,bad
Your,Invalid
The answer is,Invalid
The action of,Invalid
good The,good
The action is,Invalid
If you are,Invalid
