response,response_norm
good  ======,good
good  ======,good
good (for,good
good  ======,good
(bad),bad
bad  ======,bad
good  ======,good
**bad**,bad
good  ======,good
**bad**,bad
(bad),bad
good  ======,good
bad  ======,bad
(bad/g,bad
(bad/g,bad
good  ======,good
good  ======,good
?????,Invalid
good  ======,good
good  ======,good
good  ======,good
good (for,good
(bad),bad
?????,Invalid
good (for,good
good  ======,good
bad  ======,bad
good  ======,good
_______________________,Invalid
good  ======,good
good  ======,good
good  ======,good
good (for,good
bad  ======,bad
_______________________,Invalid
good  ======,good
bad  ======,bad
(bad),bad
bad  ======,bad
good  ======,good
good  ======,good
(good),good
good  ======,good
good (for,good
good  ======,good
good  (,good
(bad),bad
(bad),bad
good  ======,good
good  ======,good
**bad**,bad
good  ======,good
good  ======,good
bad  ======,bad
good  ======,good
(good),good
bad  ======,bad
**bad**,bad
good  ======,good
(bad/g,bad
good  ======,good
(bad),bad
good  ======,good
(bad),bad
(bad/g,bad
good  ======,good
bad  ======,bad
bad  ======,bad
_______________________,Invalid
good  ======,good
good  ======,good
_______________________,Invalid
bad  ======,bad
bad  ======,bad
(bad),bad
(bad),bad
(bad),bad
bad  ======,bad
bad  ======,bad
bad  ======,bad
bad  ======,bad
good  ======,good
good  ======,good
_______________________,Invalid
bad  ======,bad
good  ======,good
?????,Invalid
good  ======,good
(good),good
**bad**,bad
**bad**,bad
good  ======,good
good  ======,good
good  ======,good
good  ======,good
good  ======,good
**bad**,bad
(good),good
good  ======,good
bad  ======,bad
