response,response_norm
good,good
good,good
good,good
good,good
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
good,good
bad,bad
bad (for,bad
good,good
good,good
good,good
bad,bad
good,good
good,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
good,good
good,good
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad (for,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
good,good
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
bad,bad
good (for,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad (for,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
good,good
good,good
bad,bad
good,good
good,good
bad,bad
