response,response_norm
good  Explanation,good
good  Explanation,good
good,good
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
good,good
bad  Explanation,bad
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
'bad',bad
good  Explanation,good
good  Explanation,good
good  Explanation,good
bad  Explanation,bad
bad,bad
good  Explanation,good
good  Explanation,good
good,good
bad  Explanation,bad
bad  Explanation,bad
bad,bad
good  Explanation,good
bad,bad
good  Explanation,good
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
bad  =======,bad
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
good  Explanation,good
bad,bad
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
bad,bad
good  Explanation,good
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
good  Explanation,good
bad,bad
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
bad,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad,bad
good,good
bad  Explanation,bad
bad,bad
good,good
bad,bad
bad,bad
bad  Explanation,bad
good  Explanation,good
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
bad  Explanation,bad
bad,bad
bad  Explanation,bad
good,good
bad  Explanation,bad
good  Explanation,good
good,good
good  Explanation,good
bad  Explanation,bad
bad  Explanation,bad
good,good
bad  Explanation,bad
