response,response_norm
good Okay,good
good Okay,good
good Okay,good
good Okay,good
bad Okay,bad
The scenario is,Invalid
good Okay,good
bad Okay,bad
good Okay,good
The observation is,Invalid
The observation is,Invalid
good Okay,good
bad Okay,bad
bad Okay,bad
The action of,Invalid
good Okay,good
good Okay,good
bad Okay,bad
good  Okay,good
The observation is,Invalid
good Okay,good
The scenario is,Invalid
bad Okay,bad
bad Okay,bad
bad Okay,bad
good Okay,good
The scenario is,Invalid
good Okay,good
The scenario is,Invalid
good Okay,good
good Okay,good
good Okay,good
bad Okay,bad
bad Okay,bad
bad Okay,bad
good Okay,good
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad or good,Abstention
good Okay,good
bad Okay,bad
good Okay,good
bad Okay,bad
bad Okay,bad
bad Okay,bad
The observation is,Invalid
The scenario is,Invalid
bad Okay,bad
bad Okay,bad
The observation is,Invalid
bad Okay,bad
good Okay,good
The scenario is,Invalid
bad Okay,bad
bad Okay,bad
good Okay,good
bad Okay,bad
good Okay,good
bad Okay,bad
good Okay,good
The observation is,Invalid
good Okay,good
The observation is,Invalid
bad Okay,bad
bad Okay,bad
good Okay,good
The scenario is,Invalid
good Okay,good
bad Okay,bad
bad Okay,bad
The scenario is,Invalid
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
**bad**,bad
bad Okay,bad
bad Okay,bad
The observation is,Invalid
bad Okay,bad
bad Okay,bad
good Okay,good
bad Okay,bad
bad Okay,bad
The observation is,Invalid
bad Okay,bad
**bad**,bad
bad Okay,bad
bad Okay,bad
good Okay,good
good Okay,good
good Okay,good
bad Okay,bad
The observation is,Invalid
good Okay,good
bad Okay,bad
