response,response_norm
_______________________ (A or B) _______________________. Please respond,Invalid
_______________________ (A or B) _______________________. Please,Invalid
_______________________ (A or B) _______________________. Please respond with only the,Invalid
_______________________ (A or B) _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________,Invalid
_______________________ (A or B) _______________________,Invalid
_______________________ (A or B) _______________________. Please respond with only,Invalid
_______________________. (A. or B.),Invalid
_______________________. (A. or,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________  (A or B,Invalid
_______________________ (A or B) _______________________. Please respond with,Invalid
_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,Invalid
_______________________ (A or B) _______________________  (End of response),Invalid
_______________________ (A or B) _______________________.  _______________________,Invalid
_______________________ (A. or B.) _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________.  _______________________.  _______________________,Invalid
_______________________.  (A. or B.),Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B),Invalid
_______________________ (A or B) _______________________  (no additional text),Invalid
_______________________.  (A. or B.)  _______________________.  (,Invalid
_______________________ (A. or B.) _______________________ (A,Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________  (no,Invalid
_______________________ (A. or B.) _______________________ (,Invalid
_______________________. (A. or B.),Invalid
_______________________.  _______________________.  _______________________.  _______________________,Invalid
_______________________ (A or B) _______________________  (A or B) _______________________,Invalid
_______________________ (A. or B.) _______________________ (A,Invalid
_______________________ (A or B) _______________________. Please respond with only the,Invalid
_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,Invalid
_______________________.  (A. or B.)  _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________ (A or B,Invalid
_______________________.  (A. or B.),Invalid
A.  B.  (Select one,A
_______________________. (A. or B,Invalid
_______________________ (A or B) _______________________  (A or B) _______________________  (A or B),Invalid
_______________________ (A or B) _______________________.  _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________,Invalid
_______________________ (A. or B,Invalid
_______________________.  _______________________.  __________________,Invalid
_______________________ (A. or B.),Invalid
_______________________ (A or B) _______________________. Please,Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________  (no additional,Invalid
_______________________.  (A. or B.)  __________________,Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________,Invalid
_______________________ (A. or B.) __________________,Invalid
_______________________ (A. or B.) _______________________,Invalid
_______________________ (A. or B.) _______________________ (A. or B.),Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________,Invalid
_______________________ (A. or B.) _______________________ (A,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________  (no additional text)  _______________________,Invalid
_______________________ (A. or B.) _______________________ (A,Invalid
_______________________.  _______________________.  _______________________.  _______________________,Invalid
_______________________ (A or B) _______________________  (no additional text,Invalid
_______________________ (A. or B.) _______________________,Invalid
_______________________ (A or B) _______________________. Please respond with only,Invalid
_______________________ (A. or B.) _______________________ (A,Invalid
_______________________.  _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A. or B.) _______________________ (A,Invalid
_______________________ (A or B) _______________________. Please respond with only the,Invalid
_______________________ (A or B) _______________________  (no additional text)  __________________,Invalid
_______________________ (A or B) _______________________  (End of scenario)  (End of scenario,Invalid
_______________________.  _______________________,Invalid
_______________________. (A. or B,Invalid
_______________________ (A. or B.),Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________. Please respond with only the letter,Invalid
_______________________. (A. or,Invalid
_______________________.  (A. or B.),Invalid
_______________________ (A or B) _______________________  (A or B) _______________________,Invalid
_______________________ (A or B) _______________________  (your answer),Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid
_______________________. (A. or B,Invalid
_______________________ (A or B) _______________________,Invalid
_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid
_______________________ (A or B) _______________________.  Please respond with only the letter,Invalid
_______________________ (A or B) _______________________. Please respond with only the,Invalid
_______________________. (A. or B.),Invalid
_______________________. (A. or,Invalid
_______________________ (A or B) _______________________  (A or B) _______________________,Invalid
_______________________ (A. or B.) _______________________,Invalid
_______________________ (A. or B.) _______________________,Invalid
_______________________ (A or B) _______________________  (A or B),Invalid
_______________________. (A. or B.),Invalid
_______________________ (A. or B.) _______________________ (A. or B.) _______________________,Invalid
_______________________. (A. or B.),Invalid
_______________________ (A or B) _______________________. Please respond with only the option,Invalid
_______________________.  _______________________.  _______________________.  _______________________,Invalid
_______________________.  _______________________.  _______________________.  __________________,Invalid
_______________________.  _______________________.  _______________________,Invalid
_______________________.  __________________,Invalid
_______________________ (A. or B.) _______________________  (End,Invalid
_______________________. (A. or B,Invalid
