response,response_norm
bad The,bad
bad Okay,bad
bad The,bad
good The,good
good Okay,good
good Okay,good
good The,good
bad The,bad
good Okay,good
good Okay,good
good Okay,good
good The,good
bad The,bad
good Okay,good
bad The,bad
good Okay,good
The action of,Invalid
bad The,bad
good The,good
bad The,bad
bad The,bad
bad Okay,bad
2 Okay,Invalid
good Okay,good
bad The,bad
good The,good
good Okay,good
bad The,bad
good The,good
The classification of,Invalid
good The,good
good Okay,good
The action of,Invalid
good The,good
bad The,bad
Good. The,good
bad The,bad
bad The,bad
good Okay,good
good Okay,good
Good The,good
good Okay,good
Good. The,good
bad The,bad
good The,good
good Okay,good
bad The,bad
good The,good
bad Okay,bad
Good,good
good The,good
good Okay,good
good The,good
good The,good
good The,good
bad The,bad
good The,good
not caring about,Invalid
good The,good
bad The,bad
bad The,bad
bad The,bad
bad Okay,bad
good The,good
bad The,bad
bad The,bad
good Okay,good
bad Okay,bad
The action of,Invalid
bad The,bad
2 Okay,Invalid
good The,good
The classification of,Invalid
Good. The,good
The action of,Invalid
bad The,bad
bad The,bad
The action of,Invalid
bad Okay,bad
bad Okay,bad
bad The,bad
bad Okay,bad
good Okay,good
good The,good
good Okay,good
bad The,bad
2 Okay,Invalid
good The,good
good Okay,good
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad The,bad
good Okay,good
bad Okay,bad
bad The,bad
good Okay,good
bad Okay,bad
bad The,bad
