response,response_norm
2  The,Invalid
1  The,Invalid
202,Invalid
202,Invalid
202,Invalid
200,Invalid
202,Invalid
2  Wait,Invalid
2  The,Invalid
202,Invalid
1  The,Invalid
2  The,Invalid
1  The,Invalid
2  The,Invalid
200,Invalid
200,Invalid
2  The,Invalid
202,Invalid
1  The,Invalid
2  The,Invalid
999,Invalid
2  Wait,Invalid
200,Invalid
202,Invalid
2  The,Invalid
202,Invalid
good  Wait,good
200,Invalid
202,Invalid
2  The,Invalid
202,Invalid
2  The,Invalid
202,Invalid
2  The,Invalid
200,Invalid
202,Invalid
202,Invalid
2  The,Invalid
2  The,Invalid
200,Invalid
100,Invalid
2  The,Invalid
2  The,Invalid
200,Invalid
200,Invalid
200,Invalid
202,Invalid
2. Bad,bad
202,Invalid
200,Invalid
good  Wait,good
2  The,Invalid
200,Invalid
200,Invalid
2  The,Invalid
200,Invalid
200,Invalid
202,Invalid
202,Invalid
200,Invalid
202,Invalid
2  The,Invalid
200,Invalid
200,Invalid
200,Invalid
202,Invalid
2nd attempt,Invalid
202,Invalid
202,Invalid
200,Invalid
2  The,Invalid
202,Invalid
2  Wait,Invalid
2  The,Invalid
200,Invalid
2  The,Invalid
2 </think>,Invalid
202,Invalid
2  The,Invalid
2  Wait,Invalid
202,Invalid
2  The,Invalid
202,Invalid
200,Invalid
202,Invalid
2  The,Invalid
200,Invalid
202,Invalid
2  Wait,Invalid
200,Invalid
200,Invalid
2  The,Invalid
100,Invalid
2  The,Invalid
2  The,Invalid
200,Invalid
202,Invalid
1. Good,good
200,Invalid
202,Invalid
Good  Now,good
2  The,Invalid
200,Invalid
200,Invalid
200,Invalid
202,Invalid
good  Now,good
2  The,Invalid
202,Invalid
1  The,Invalid
202,Invalid
200,Invalid
good  Now,good
2  The,Invalid
200,Invalid
2nd option,Invalid
200,Invalid
200,Invalid
200,Invalid
200,Invalid
200,Invalid
200,Invalid
1  The,Invalid
2  Wait,Invalid
good  The,good
200,Invalid
202,Invalid
200,Invalid
202,Invalid
200,Invalid
200,Invalid
200,Invalid
2  The,Invalid
good  The,good
200,Invalid
200,Invalid
200,Invalid
200,Invalid
100,Invalid
1. Good,good
202,Invalid
20 characters,Invalid
200,Invalid
202,Invalid
202,Invalid
2  Wait,Invalid
202,Invalid
100,Invalid
200,Invalid
202,Invalid
200,Invalid
200,Invalid
1  The,Invalid
202,Invalid
200,Invalid
