response,response_norm
bad Please,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
_______________________,Invalid
bad Please,bad
bad Explanation,bad
bad Is,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Explanation,bad
bad Please,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
good  (,good
_______________________,Invalid
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
_______________________,Invalid
bad Please,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Please,bad
_______________________,Invalid
bad Explanation,bad
bad  ```,bad
bad Explanation,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Please,bad
good I,good
bad Explanation,bad
bad Please,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Please,bad
_______________________,Invalid
bad Explanation,bad
bad Please,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
bad Explanation,bad
_______________________,Invalid
bad Please,bad
bad Please,bad
bad Explanation,bad
bad Please,bad
bad Explanation,bad
_______________________,Invalid
bad Explanation,bad
bad Please,bad
good Explanation,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Explanation,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Explanation,good
good Explanation,good
good Please,good
good Explanation,good
good Explanation,good
good Explanation,good
good Explanation,good
good Explanation,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Explanation,good
good Please,good
good Please,good
good Explanation,good
good Explanation,good
good Please,good
good Explanation,good
good Please,good
_______________________,Invalid
good Please,good
good Explanation,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Please,good
good Explanation,good
good Please,good
good Please,good
good Please,good
good Please,good
good Explanation,good
good Please,good
good Please,good
good Please,good
good Please,good
