response,response_norm
Bad Please,Bad
Bad Explanation,Bad
Bad,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad,Bad
Bad Is,Bad
Bad Please,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Please,Bad
Bad Please,Bad
Bad It,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
_______________________,Invalid
Bad Please,Bad
Bad Explanation,Bad
Bad,Bad
Bad Please,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad,Bad
Bad,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Please,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
_______________________,Invalid
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Bad Explanation,Bad
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Please,Good
Good Please,Good
Good Explanation,Good
Good Explanation,Good
