response,response_norm
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Good (if,Good
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Good (if,Good
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad,Bad
Bad (if,Bad
Bad,Bad
Bad,Bad
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Bad,Bad
Good,Good
Bad,Bad
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
Good,Good
