response,response_norm
good,good
good,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
good,good
bad,bad
bad,bad
good,good
good,good
bad,bad
bad,bad
good,good
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
bad,bad
bad,bad
good,good
bad,bad
good,good
bad,bad
bad,bad
bad,bad
bad,bad
good (if,good
bad,bad
good,good
bad,bad
good,good
bad,bad
good,good
good,good
good,good
good,good
bad,bad
good,good
good,good
bad,bad
good,good
good,good
good,good
good,good
bad,bad
good,good
bad,bad
good,good
good,good
good,good
bad,bad
good,good
good,good
good,good
good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
good,good
good,good
good,good
good,good
bad,bad
good,good
good,good
bad,bad
good,good
good,good
