response,response_norm
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
bad,bad
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
