response,response_norm
bad Okay,bad
The action of,Invalid
bad Okay,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad Okay,bad
bad The,bad
bad The,bad
The classification of,Invalid
bad The,bad
not caring about,Invalid
bad The,bad
bad Okay,bad
bad The,bad
The action of,Invalid
The action of,Invalid
bad The,bad
bad Okay,bad
bad Okay,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad Okay,bad
bad Okay,bad
The action of,Invalid
2 Okay,Invalid
1. The,Invalid
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad The,bad
bad Okay,bad
bad The,bad
bad The,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad The,bad
bad The,bad
The action of,Invalid
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad Okay,bad
bad Okay,bad
bad The,bad
The action of,Invalid
bad The,bad
bad The,bad
bad The,bad
bad The,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
bad The,bad
The action of,Invalid
bad Okay,bad
2 Okay,Invalid
The classification of,Invalid
bad Okay,bad
bad The,bad
bad The,bad
"**Okay,",Invalid
bad Okay,bad
bad The,bad
bad Okay,bad
bad The,bad
bad The,bad
bad Okay,bad
bad Okay,bad
bad Okay,bad
The classification of,Invalid
bad The,bad
"""Getting back",Invalid
good Okay,good
good Okay,good
good Okay,good
Good,good
good Okay,good
good Okay,good
good The,good
Good The,good
good Okay,good
good The,good
good Okay,good
good Okay,good
good The,good
good Okay,good
good The,good
2 Okay,Invalid
good The,good
good The,good
good Okay,good
2 Okay,Invalid
being concerned about,Invalid
good The,good
good The,good
Good. The,good
good Okay,good
good The,good
The action of,Invalid
good The,good
good Okay,good
good Okay,good
good The,good
good Okay,good
good The,good
good Okay,good
good The,good
good Okay,good
bad The,bad
good Okay,good
bad The,bad
good Okay,good
good The,good
good Okay,good
good The,good
good Okay,good
good Okay,good
good The,good
good The,good
good The,good
good The,good
Good. The,good
Good The,good
good The,good
good Okay,good
good Okay,good
good Okay,good
Good. The,good
good The,good
good The,good
good The,good
good The,good
good The,good
