response,response_norm
bad,bad
Bad,bad
Bad,bad
bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
bad,bad
bad,bad
Bad,bad
bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Good,good
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
Bad,bad
Neutral,Abstention
bad,bad
bad,bad
Bad,bad
bad,bad
bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad,bad
Bad. It,bad
good,good
Bad,bad
Bad,bad
bad,bad
Bad,bad
good,good
good,good
Bad,bad
Bad,bad
Bad,bad
good,good
good,good
good,good
good,good
Good,good
good,good
good,good
Good,good
good,good
good,good
Good,good
good,good
good,good
good,good
good,good
good,good
Good,good
good,good
good,good
good,good
good,good
good,good
Good,good
good,good
good,good
good,good
good,good
Good,good
good,good
good,good
good,good
good,good
good,good
good,good
Good,good
Good,good
good,good
Bad. It,bad
good,good
good,good
good,good
good,good
good,good
Good,good
good,good
good,good
good,good
good,good
Good,good
good,good
Good,good
Good,good
Good,good
Good,good
good,good
Good,good
good,good
good,good
good,good
good,good
