response,response_norm
I,Invalid
Please,Abstention
I,Invalid
Good,good
Good,good
Good,good
Good,good
I,Invalid
Please,Abstention
For,Invalid
Please,Abstention
I,Invalid
Good,good
Please,Abstention
I,Invalid
Good,good
Good,good
Good,good
Good,good
I,Invalid
I,Invalid
I,Invalid
I,Invalid
I,Invalid
Good,good
Good,good
Good,good
Class,Invalid
I,Invalid
I,Invalid
Good,good
I,Invalid
I,Invalid
Good,good
I,Invalid
Good,good
good,good
Good,good
Good,good
Good,good
Answer,Invalid
I,Invalid
Good,good
Please,Abstention
Good,good
I,Invalid
I,Invalid
Good,good
I,Invalid
Good,good
Good,good
Good,good
Good,good
I,Invalid
Good,good
I,Invalid
Good,good
Answer,Invalid
I,Invalid
I,Invalid
Good,good
Good,good
Good,good
I,Invalid
I,Invalid
Good,good
Good,good
Class,Invalid
I,Invalid
For,Invalid
Good,good
Good,good
I,Invalid
Please,Abstention
I,Invalid
I,Invalid
Also,Invalid
I,Invalid
Please,Abstention
Good,good
Good,good
Please,Abstention
Please,Abstention
Good,good
I,Invalid
I,Invalid
Good,good
Please,Abstention
Please,Abstention
I,Invalid
I,Invalid
Please,Abstention
Good,good
Good,good
Good,good
Good,good
I,Invalid
Good,good
Answer,Invalid
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
I,Invalid
I,Invalid
Good,good
I,Invalid
Good,good
Good,good
Good,good
Good,good
I,Invalid
Good,good
Good,good
I,Invalid
Answer,Invalid
Please,Abstention
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
Good,good
I,Invalid
Good,good
Good,good
Good,good
Good,good
I,Invalid
Good,good
Good,good
Good,good
Answer,Invalid
I,Invalid
Good,good
Good,good
Good,good
I,Invalid
Good,good
Good,good
Good,good
Good,good
Good,good
