edit_idx,label,pre_edit,post_edit,pre_edit_norm,post_edit_norm,response_changed
0,A,_______________________ (A or B) _______________________. Please respond,_______________________ (A or B) _______________________ (A or,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________. Please,_______________________ (A or B) _______________________  (,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________  _______________________  _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________. Please respond with only,_______________________ (A or B) _______________________ (A or B),Invalid,Invalid,1
0,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,B,_______________________. (A. or,_______________________. (A. or,Invalid,Invalid,0
0,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________  (A or B,_______________________ (A or B) _______________________  _______________________  __________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________. Please respond with,_______________________ (A or B) _______________________  _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________  (End of response),_______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________.  _______________________,_______________________ (A or B) _______________________ (A or B) __________________,Invalid,Invalid,1
0,B,_______________________ (A. or B.) _______________________,_______________________. (A. or B.),Invalid,Invalid,1
0,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,A,_______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________,Invalid,Invalid,0
0,A,_______________________.  (A. or B.),_______________________.  _______________________.  _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________  (,Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________.  _______________________.  _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B),_______________________ (A or B),Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________  (no additional text),_______________________ (A or B) _______________________  _______________________  _______________________,Invalid,Invalid,1
0,B,_______________________.  (A. or B.)  _______________________.  (,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________ (A. or B.) _______________________ (A,_______________________. (A. or B.),Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________  (no additional text)  _______________________  (no,_______________________ (A or B) _______________________  (A or B) _______________________  (A or,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________ (,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,A,_______________________.  _______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B) _______________________ (A or B) _______________________ (,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________ (A,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________  _______________________  _______________________,Invalid,Invalid,1
