edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,The,. bad,Invalid,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,The,. bad,Invalid,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",. bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
