edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,"""",bad,Abstention,bad,bad,1,1
28,This,This action is,Invalid,Invalid,bad,0,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad lying,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad Claim,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad Ign,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad lying,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad lying,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,"""",neutral,Abstention,Abstention,bad,0,1
28,"""",bad,Abstention,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
28,"""",bad,Abstention,bad,bad,1,1
28,The,bad lying,Invalid,bad,bad,1,1
28,This,bad,Invalid,bad,bad,1,1
